title,console,console_fabricator,genre,publisher,developer,release_date,ano,total_sales,na_sales,jp_sales,pal_sales,other_sales
BeatMania IIDX 14 Gold,PS2,Sony,Simulation,Konami,Konami,2008-05-29,2008,0.03,0.0,0.03,0.0,0.0
Pure Farming 2018,XOne,Microsoft,Simulation,Techland,Ice Flames,2018-03-13,2018,0.03,0.03,0.0,0.0,0.0
Railway Empire,PS4,Sony,Simulation,Kalypso Media,Gaming Minds Studios,2018-01-30,2018,0.03,0.02,0.0,0.0,0.01
The IdolM@ster: Gravure For You! Vol. 5,PS3,Sony,Simulation,Namco Bandai Games,Namco Bandai Games,2012-02-23,2012,0.03,0.0,0.03,0.0,0.0
Lock On: Modern Air Combat,PC,Outros,Simulation,Ubisoft,Eagle Dynamics,2003-11-24,2003,0.03,0.0,0.0,0.03,0.0
Take On Helicopters,PC,Outros,Simulation,Unknown,Bohemia Interactive,2011-10-27,2011,0.03,0.0,0.0,0.03,0.0
Armored Core: Last Raven Portable,PSP,Sony,Simulation,From Software,From Software,2010-03-04,2010,0.03,0.0,0.03,0.0,0.0
Toy Shop,DS,Nintendo,Simulation,Majesco,"Seed Studios, Lda",2008-04-29,2008,0.03,0.03,0.0,0.0,0.0
Gokujou!! Mecha Mote Iinchou: MM My Best Friend!,DS,Nintendo,Simulation,Konami,Konami,2010-11-25,2010,0.03,0.0,0.03,0.0,0.0
Winning Post 8 2016,PS4,Sony,Simulation,Tecmo Koei,Koei Tecmo Games,2016-03-31,2016,0.03,0.0,0.03,0.0,0.0
Blazing Angels: Squadrons of WWII,PC,Outros,Simulation,Ubisoft,Ubisoft Romania,2006-03-28,2006,0.03,0.03,0.0,0.0,0.0
Great Edo Blacksmith,PSV,Sony,Simulation,Nippon Ichi Software,Nippon Ichi Software,2014-11-27,2014,0.03,0.0,0.03,0.0,0.0
Zoo Vet: Endangered Animals,DS,Nintendo,Simulation,Legacy Interactive,Legacy Interactive,2008-11-11,2008,0.03,0.03,0.0,0.0,0.0
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen,DS,Nintendo,Simulation,Konami,Konami,2008-03-14,2008,0.03,0.0,0.03,0.0,0.0
DarkStar One,PC,Outros,Simulation,CDV Software Entertainment,Ascaron Entertainment,2006-08-14,2006,0.03,0.0,0.0,0.03,0.0
BeatMania IIDX 13: DistorteD,PS2,Sony,Simulation,Konami,Konami,2007-08-30,2007,0.03,0.0,0.03,0.0,0.0
S.L.A.I.: Steel Lancer Arena International,PS2,Sony,Simulation,Konami,Genki,2005-09-21,2005,0.02,0.01,0.0,0.01,0.0
Armored Core SL: Silent Line Portable,PSP,Sony,Simulation,From Software,From Software,2009-11-19,2009,0.03,0.0,0.03,0.0,0.0
Teddy Together,3DS,Nintendo,Simulation,Nintendo,Arika,2016-07-01,2016,0.03,0.0,0.0,0.03,0.0
Cladun Returns: This Is Sengoku!,PS4,Sony,Action,NIS America,Nippon Ichi Software,2017-06-06,2017,0.02,0.02,0.0,0.0,0.0
BattleZone,PSP,Sony,Action,Atari,Paradigm Entertainment Inc.,2006-11-06,2006,0.02,0.02,0.0,0.0,0.0
Doraemon: Nobita no Takarajima,3DS,Nintendo,Action,FuRyu Corporation,FuRyu,2018-03-01,2018,0.03,0.0,0.03,0.0,0.0
Justice League Heroes: The Flash,GBA,Nintendo,Action,Warner Bros. Interactive,WayForward Technologies,2006-10-17,2006,0.03,0.02,0.0,0.01,0.0
Norn + Nonette: Act Tune,PSV,Sony,Action,Idea Factory,Unknown,2016-10-06,2016,0.03,0.0,0.03,0.0,0.0
Pacific Liberator,Wii,Nintendo,Action,Zoo Games,Team6 Game Studios,2009-09-15,2009,0.03,0.03,0.0,0.0,0.0
Turn It Around,DS,Nintendo,Action,Majesco,Taito Corporation,2007-08-28,2007,0.03,0.03,0.0,0.0,0.0
The Longest 5 Minutes,NS,Nintendo,Action,NIS America,Nippon Ichi Software,2018-02-13,2018,0.03,0.03,0.0,0.0,0.0
Kong: King of Atlantis,GBA,Nintendo,Action,Majesco,Skyworks Technologies,2005-10-25,2005,0.03,0.02,0.0,0.01,0.0
White Album 2: Shiawase no Mukougawa,PSV,Sony,Visual Novel,Aqua Plus,Aqua Plus,2013-11-28,2013,0.02,0.0,0.02,0.0,0.0
Chaos;Child,PS4,Sony,Visual Novel,PQube,5pb. Inc.,2017-10-24,2017,0.02,0.0,0.02,0.0,0.0
Memories Off: Yubikiri no Kikou,PSP,Sony,Visual Novel,5pb,5pb. Games,2011-05-26,2011,0.02,0.0,0.02,0.0,0.0
L.G.S: Shinsetsu Houshinengi,PSP,Sony,Visual Novel,Idea Factory,Otomate,2012-08-09,2012,0.02,0.0,0.02,0.0,0.0
Dunamis 15,X360,Microsoft,Visual Novel,5pb,5pb. Games,2011-09-15,2011,0.02,0.0,0.02,0.0,0.0
Reine des Fleurs,PSV,Sony,Visual Novel,Idea Factory,Otomate,2015-08-20,2015,0.02,0.0,0.02,0.0,0.0
Custom Drive,PSP,Sony,Visual Novel,D3Publisher,Vridge Inc.,2012-08-30,2012,0.02,0.0,0.02,0.0,0.0
