title,console,console_fabricator,genre,publisher,developer,release_date,ano,total_sales,na_sales,jp_sales,pal_sales,other_sales
Grand Theft Auto V,PS3,Sony,Action,Rockstar Games,Rockstar North,2013-09-17,2013,20.330000000000002,6.37,0.99,9.85,3.12
Grand Theft Auto V,PS4,Sony,Action,Rockstar Games,Rockstar North,2014-11-18,2014,19.39,6.06,0.6,9.71,3.02
Grand Theft Auto: Vice City,PS2,Sony,Action,Rockstar Games,Rockstar North,2002-10-28,2002,16.150000000000002,8.41,0.47,5.49,1.78
Grand Theft Auto V,X360,Microsoft,Action,Rockstar Games,Rockstar North,2013-09-17,2013,15.870000000000001,9.06,0.06,5.33,1.42
Call of Duty: Black Ops 3,PS4,Sony,Shooter,Activision,Treyarch,2015-11-06,2015,15.08,6.18,0.41,6.05,2.44
Call of Duty: Modern Warfare 3,X360,Microsoft,Shooter,Activision,Infinity Ward,2011-11-08,2011,14.820000000000002,9.07,0.13,4.29,1.33
Call of Duty: Black Ops,X360,Microsoft,Shooter,Activision,Treyarch,2010-11-09,2010,14.74,9.76,0.11,3.73,1.14
Red Dead Redemption 2,PS4,Sony,Action-Adventure,Rockstar Games,Rockstar Games,2018-10-26,2018,13.94,5.26,0.21,6.21,2.26
Call of Duty: Black Ops II,X360,Microsoft,Shooter,Activision,Treyarch,2012-11-13,2012,13.86,8.27,0.07,4.32,1.2
Call of Duty: Black Ops II,PS3,Sony,Shooter,Activision,Treyarch,2012-11-13,2012,13.799999999999999,4.99,0.65,5.88,2.28
Call of Duty: Modern Warfare 2,X360,Microsoft,Shooter,Activision,Infinity Ward,2009-11-10,2009,13.53,8.54,0.08,3.63,1.28
Call of Duty: WWII,PS4,Sony,Shooter,Activision,Sledgehammer Games,2017-11-03,2017,13.400000000000002,4.67,0.4,6.21,2.12
Call of Duty: Modern Warfare 3,PS3,Sony,Shooter,Activision,Infinity Ward,2011-11-08,2011,13.350000000000001,5.54,0.49,5.78,1.54
Grand Theft Auto III,PS2,Sony,Action,Rockstar Games,DMA Design,2001-10-23,2001,13.100000000000001,6.99,0.3,4.51,1.3
Call of Duty: Black Ops,PS3,Sony,Shooter,Activision,Treyarch,2010-11-09,2010,12.67,6.01,0.48,4.4,1.78
FIFA 18,PS4,Sony,Sports,EA Sports,EA Vancouver,2017-09-29,2017,11.790000000000001,1.27,0.15,8.64,1.73
Grand Theft Auto IV,X360,Microsoft,Action,Rockstar Games,Rockstar North,2008-04-29,2008,11.09,6.8,0.14,3.11,1.04
FIFA 17,PS4,Sony,Sports,Electronic Arts,EA Canada,2016-09-27,2016,10.94,1.26,0.12,7.95,1.61
Call of Duty: Modern Warfare 2,PS3,Sony,Shooter,Activision,Infinity Ward,2009-11-10,2009,10.620000000000001,4.99,0.38,3.66,1.59
Grand Theft Auto IV,PS3,Sony,Action,Rockstar Games,Rockstar North,2008-04-29,2008,10.580000000000002,4.79,0.44,3.73,1.62
Call of Duty: Ghosts,X360,Microsoft,Shooter,Activision,Infinity Ward,2013-11-05,2013,10.42,6.76,0.04,2.64,0.98
Call of Duty: Ghosts,PS3,Sony,Shooter,Activision,Infinity Ward,2013-11-05,2013,10.129999999999999,4.11,0.39,4.01,1.62
Halo: Reach,X360,Microsoft,Shooter,Microsoft Game Studios,Bungie,2010-09-14,2010,9.97,7.08,0.08,2.01,0.8
Halo 4,X360,Microsoft,Shooter,Microsoft Studios,343 Industries,2012-11-06,2012,9.95,6.72,0.04,2.36,0.83
Call of Duty 4: Modern Warfare,X360,Microsoft,Shooter,Activision,Infinity Ward,2007-11-05,2007,9.41,5.98,0.13,2.39,0.91
Call of Duty: Black Ops IIII,PS4,Sony,Shooter,Activision,Treyarch,2018-10-12,2018,9.32,4.05,0.5,3.28,1.49
FIFA 19,PS4,Sony,Sports,Electronic Arts,EA Sports,2018-09-28,2018,9.15,0.84,0.1,6.87,1.34
The Elder Scrolls V: Skyrim,X360,Microsoft,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2011-11-11,2011,8.879999999999999,5.1,0.1,2.83,0.85
Grand Theft Auto V,XOne,Microsoft,Action,Rockstar Games,Rockstar North,2014-11-18,2014,8.72,4.7,0.01,3.25,0.76
Call of Duty: Infinite Warfare,PS4,Sony,Shooter,Activision,Infinity Ward,2016-11-04,2016,8.49,3.11,0.19,3.83,1.36
Fallout 4,PS4,Sony,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2015-11-10,2015,8.49,2.91,0.27,3.97,1.34
FIFA 16,PS4,Sony,Sports,EA Sports,EA Canada,2015-09-22,2015,8.219999999999999,1.15,0.07,5.77,1.23
Star Wars Battlefront (2015),PS4,Sony,Shooter,Electronic Arts,EA DICE,2015-11-17,2015,8.030000000000001,3.31,0.23,3.19,1.3
FIFA 13,PS3,Sony,Sports,EA Sports,EA Canada,2012-09-25,2012,8.01,1.07,0.13,5.13,1.68
The Sims 3,PC,Outros,Simulation,Electronic Arts,EA Redwood Shores,2009-06-02,2009,7.97,1.01,0.0,6.46,0.5
Grand Theft Auto: Liberty City Stories,PSP,Sony,Action,Rockstar Games,Rockstar Leeds,2005-10-25,2005,7.71,2.9,0.24,2.83,1.74
Call of Duty: Advanced Warfare,PS4,Sony,Shooter,Activision,Sledgehammer Games,2014-11-04,2014,7.54,2.84,0.14,3.34,1.22
Call of Duty: World at War,X360,Microsoft,Shooter,Activision,Treyarch,2008-11-10,2008,7.5,4.88,0.0,1.91,0.71
Call of Duty: Black Ops 3,XOne,Microsoft,Shooter,Activision,Treyarch,2015-11-06,2015,7.369999999999999,4.63,0.02,2.04,0.68
Battlefield 3,X360,Microsoft,Shooter,Electronic Arts,Dice,2011-10-25,2011,7.34,4.47,0.06,2.12,0.69
Battlefield 1,PS4,Sony,Shooter,Electronic Arts,EA DICE,2016-10-21,2016,7.260000000000001,2.2,0.29,3.65,1.12
Battlefield 3,PS3,Sony,Shooter,Electronic Arts,Dice,2011-10-25,2011,7.220000000000001,2.86,0.35,2.94,1.07
Need for Speed Underground,PS2,Sony,Racing,Electronic Arts,EA Black Box,2003-11-17,2003,7.199999999999999,3.27,0.08,2.83,1.02
Need for Speed Underground 2,PS2,Sony,Racing,Electronic Arts,EA Black Box,2004-11-15,2004,6.9,2.71,0.08,3.02,1.09
Just Dance 4,Wii,Nintendo,Music,Ubisoft,Ubisoft,2012-10-09,2012,6.88,4.05,0.0,2.21,0.62
Medal of Honor: Frontline,PS2,Sony,Shooter,Electronic Arts,EA Los Angeles,2002-05-28,2002,6.84,2.93,0.17,2.75,0.99
Uncharted 2: Among Thieves,PS3,Sony,Action,Sony Computer Entertainment,Naughty Dog,2009-10-13,2009,6.73,3.28,0.21,2.22,1.02
Call of Duty 4: Modern Warfare,PS3,Sony,Shooter,Activision,Infinity Ward,2007-11-05,2007,6.72,3.13,0.28,2.27,1.04
FIFA Soccer 12,PS3,Sony,Sports,EA Sports,EA Canada,2011-09-27,2011,6.65,0.84,0.11,4.33,1.37
FIFA 14,PS3,Sony,Sports,EA Sports,EA Canada,2013-09-24,2013,6.609999999999999,0.79,0.07,4.77,0.98
Red Dead Redemption,PS3,Sony,Action,Rockstar Games,Rockstar San Diego,2011-10-11,2011,6.57,2.82,0.17,2.58,1.0
Red Dead Redemption,X360,Microsoft,Action,Rockstar Games,Rockstar San Diego,2010-05-18,2010,6.489999999999999,3.77,0.09,2.03,0.6
Assassin's Creed III,PS3,Sony,Action-Adventure,Ubisoft,Ubisoft Montreal,2012-10-30,2012,6.5,2.65,0.16,2.61,1.08
The Elder Scrolls V: Skyrim,PS3,Sony,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2011-11-11,2011,6.49,2.57,0.25,2.68,0.99
Minecraft,PS4,Sony,Misc,Sony Computer Entertainment,Mojang,2014-10-07,2014,6.329999999999999,1.89,0.35,3.13,0.96
FIFA 15,PS4,Sony,Sports,EA Sports,EA Canada,2014-09-23,2014,6.3100000000000005,0.83,0.05,4.49,0.94
Driver,PS,Sony,Action,GT Interactive,Reflections Interactive,1999-06-30,1999,6.26,3.11,0.02,2.8,0.33
Call of Duty: WWII,XOne,Microsoft,Shooter,Activision,Sledgehammer Games,2017-11-03,2017,6.23,3.75,0.0,1.91,0.57
Minecraft,PS3,Sony,Misc,Sony Computer Entertainment America,Mojang,2014-05-16,2014,6.0600000000000005,2.21,0.0,2.86,0.99
Red Dead Redemption 2,XOne,Microsoft,Action-Adventure,Rockstar Games,Rockstar Games,2018-10-26,2018,5.77,3.76,0.0,1.47,0.54
Destiny,PS4,Sony,Shooter,Activision,Bungie,2014-09-09,2014,5.76,2.53,0.16,2.13,0.94
Tekken 2,PS,Sony,Fighting,Namco,Namco,1996-08-25,1996,5.74,2.26,1.36,1.89,0.23
LEGO Star Wars: The Complete Saga,Wii,Nintendo,Action,LucasArts,Traveller's Tales,2007-11-06,2007,5.66,3.57,0.0,1.57,0.52
Cooking Mama,DS,Nintendo,Simulation,Majesco,Office Create,2006-09-12,2006,5.66,3.09,0.07,1.92,0.58
Assassin's Creed II,PS3,Sony,Action,Ubisoft,Ubisoft Montreal,2009-11-17,2009,5.5600000000000005,2.54,0.21,1.95,0.86
Assassin's Creed,X360,Microsoft,Action,Ubisoft,Ubisoft Montreal,2007-11-13,2007,5.549999999999999,3.28,0.07,1.64,0.56
Batman: Arkham City,PS3,Sony,Action,Warner Bros. Interactive,Rocksteady Studios,2011-10-18,2011,5.54,2.72,0.11,1.89,0.82
Forza Motorsport 3,X360,Microsoft,Racing,Microsoft Game Studios,Turn 10 Studios,2009-10-27,2009,5.5,2.99,0.1,1.9,0.51
Call of Duty: World at War,PS3,Sony,Shooter,Activision,Treyarch,2008-11-10,2008,5.43,2.75,0.0,1.84,0.84
Minecraft,XOne,Microsoft,Misc,Microsoft Studios,Mojang,2014-11-18,2014,5.43,3.23,0.0,1.71,0.49
Crash Bandicoot: The Wrath of Cortex,PS2,Sony,Platform,Universal Interactive,Traveller's Tales,2001-10-29,2001,5.42,2.07,0.24,2.29,0.82
Final Fantasy XIII,PS3,Sony,Role-Playing,Square Enix,Square Enix,2010-03-09,2010,5.359999999999999,1.75,1.87,1.23,0.51
Assassin's Creed III,X360,Microsoft,Action-Adventure,Ubisoft,Ubisoft Montreal,2012-10-30,2012,5.319999999999999,3.13,0.03,1.71,0.45
Assassin's Creed II,X360,Microsoft,Action,Ubisoft,Ubisoft Montreal,2009-11-17,2009,5.290000000000001,3.14,0.08,1.55,0.52
Tomb Raider II,PS,Sony,Adventure,Eidos Interactive,Core Design Ltd.,1997-10-31,1997,5.24,2.3,0.2,2.46,0.28
Madden NFL 2004,PS2,Sony,Sports,EA Sports,EA Tiburon,2003-08-12,2003,5.239999999999999,4.26,0.01,0.26,0.71
Call of Duty: Advanced Warfare,XOne,Microsoft,Shooter,Activision,Sledgehammer Games,2014-11-04,2014,5.23,3.25,0.01,1.49,0.48
Medal of Honor: Rising Sun,PS2,Sony,Shooter,Electronic Arts,EA Los Angeles,2003-11-11,2003,5.14,1.98,0.13,2.23,0.8
Battlefield 1,XOne,Microsoft,Shooter,Electronic Arts,EA DICE,2016-10-21,2016,5.130000000000001,3.37,0.02,1.26,0.48
Microsoft Flight Simulator,PC,Outros,Simulation,Microsoft,Microsoft,1996-10-31,1996,5.11,3.22,0.0,1.69,0.2
Guitar Hero II,PS2,Sony,Misc,RedOctane,Harmonix Music Systems,2006-11-07,2006,5.12,3.81,0.0,0.63,0.68
FIFA 13,X360,Microsoft,Sports,EA Sports,EA Canada,2012-09-25,2012,5.12,1.1,0.03,3.49,0.5
Mario & Sonic at the Olympic Games,DS,Nintendo,Sports,Sega,Sega,2008-01-22,2008,5.1,1.63,0.44,2.46,0.57
Fable III,X360,Microsoft,Role-Playing,Microsoft Game Studios,Lionhead Studios,2010-10-26,2010,5.1,3.59,0.05,1.09,0.37
Resident Evil 5,PS3,Sony,Action,Capcom,Capcom,2009-03-13,2009,5.1,1.96,1.08,1.42,0.64
FIFA Soccer 11,PS3,Sony,Sports,EA Sports,EA Canada,2010-09-28,2010,5.07,0.61,0.06,3.28,1.12
Grand Theft Auto: Vice City Stories,PSP,Sony,Action,Rockstar Games,Rockstar Leeds,2006-10-31,2006,5.08,1.7,0.16,2.03,1.19
Final Fantasy XV,PS4,Sony,Role-Playing,Square Enix,Square Enix,2016-11-29,2016,5.07,1.81,1.05,1.53,0.68
Fallout 4,XOne,Microsoft,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2015-11-10,2015,5.03,2.94,0.02,1.62,0.45
Tony Hawk's Pro Skater,PS,Sony,Sports,Activision,Neversoft Entertainment,1999-08-31,1999,5.0200000000000005,3.42,0.02,1.38,0.2
Warzone 2100,PS,Sony,Strategy,Eidos Interactive,Pumpkin Studios,1999-05-31,1999,5.01,2.79,0.0,1.89,0.33
Guitar Hero III: Legends of Rock,PS2,Sony,Misc,RedOctane,BudCat Creations,2007-10-28,2007,4.99,3.49,0.01,0.01,1.48
Uncharted: Drake's Fortune,PS3,Sony,Action,Sony Computer Entertainment,Naughty Dog,2007-11-16,2007,4.97,2.32,0.12,1.73,0.8
Fallout 3,X360,Microsoft,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2008-10-28,2008,4.95,3.41,0.09,0.99,0.46
Madden NFL 06,PS2,Sony,Sports,EA Sports,EA Tiburon,2005-08-08,2005,4.91,3.98,0.01,0.26,0.66
Call of Duty: Black Ops IIII,XOne,Microsoft,Shooter,Activision,Treyarch,2018-10-12,2018,4.8500000000000005,3.27,0.0,1.12,0.46
Assassin's Creed,PS3,Sony,Action,Ubisoft,Ubisoft Montreal,2007-11-13,2007,4.83,1.91,0.09,2.01,0.82
Crash Bandicoot N. Sane Trilogy,PS4,Sony,Platform,Activision,Vicarious Visions,2017-06-30,2017,4.82,1.09,0.07,2.92,0.74
Call of Duty: Infinite Warfare,XOne,Microsoft,Shooter,Activision,Infinity Ward,2016-11-04,2016,4.79,2.91,0.0,1.44,0.44
Crash Team Racing,PS,Sony,Racing,Sony Computer Entertainment,Naughty Dog,1999-09-30,1999,4.79,2.57,0.44,1.57,0.21
LEGO Star Wars: The Complete Saga,DS,Nintendo,Action,LucasArts,Traveller's Tales,2007-11-06,2007,4.7700000000000005,2.83,0.0,1.49,0.45
Batman: Arkham City,X360,Microsoft,Action,Warner Bros. Interactive,Rocksteady Studios,2011-10-18,2011,4.750000000000001,2.99,0.04,1.28,0.44
Driver 2,PS,Sony,Action,Atari,Reflections Interactive,2000-11-13,2000,4.73,2.36,0.02,2.1,0.25
The Simpsons: Hit & Run,PS2,Sony,Racing,VU Games,Radical Entertainment,2003-09-16,2003,4.71,1.73,0.0,2.19,0.79
Tony Hawk's Pro Skater 2,PS,Sony,Sports,Activision,Neversoft Entertainment,2000-09-20,2000,4.68,3.05,0.02,1.41,0.2
The Lord of the Rings: The Two Towers,PS2,Sony,Action,Electronic Arts,Stormfront Studios,2002-10-21,2002,4.67,1.94,0.08,1.95,0.7
Tomb Raider,PS,Sony,Action,Eidos Interactive,Core Design Ltd.,1996-11-14,1996,4.63,2.29,0.13,1.97,0.24
Forza Motorsport 4,X360,Microsoft,Racing,Microsoft Studios,Turn 10 Studio,2011-10-11,2011,4.61,2.08,0.06,1.98,0.49
Guitar Hero III: Legends of Rock,Wii,Nintendo,Misc,RedOctane,Vicarious Visions,2007-10-28,2007,4.6000000000000005,3.04,0.0,1.12,0.44
FIFA 15,PS3,Sony,Sports,EA Sports,EA Canada,2014-09-23,2014,4.56,0.59,0.04,3.25,0.68
Mario & Sonic at the Olympic Winter Games,Wii,Nintendo,Sports,Sega,Sega,2009-10-13,2009,4.540000000000001,1.87,0.22,1.97,0.48
Overwatch,PS4,Sony,Shooter,Blizzard Entertainment,Blizzard Entertainment,2016-05-24,2016,4.540000000000001,1.84,0.17,1.8,0.73
Guitar Hero III: Legends of Rock,X360,Microsoft,Misc,RedOctane,Neversoft,2007-10-28,2007,4.529999999999999,3.19,0.01,0.91,0.42
Star Wars Battlefront II (2017),PS4,Sony,Shooter,Electronic Arts,EA DICE,2017-11-17,2017,4.539999999999999,1.7,0.12,1.99,0.73
Madden NFL 2005,PS2,Sony,Sports,EA Sports,EA Tiburon,2004-08-09,2004,4.529999999999999,4.18,0.01,0.26,0.08
Spider-Man: The Movie,PS2,Sony,Action,Activision,Treyarch,2002-04-15,2002,4.48,2.71,0.03,1.51,0.23
The Elder Scrolls IV: Oblivion,X360,Microsoft,Role-Playing,Take-Two Interactive,Bethesda Softworks,2009-07-07,2009,4.46,2.89,0.13,1.03,0.41
Tony Hawk's Pro Skater 3,PS2,Sony,Sports,Activision,Neversoft Entertainment,2001-10-28,2001,4.42,2.66,0.01,1.29,0.46
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sony,Sports,Konami,Konami Computer Entertainment Tokyo,2007-02-06,2007,4.4,0.1,1.05,2.39,0.86
Tom Clancy's The Division,PS4,Sony,Shooter,Ubisoft,Massive Entertainment,2016-03-08,2016,4.38,1.49,0.16,2.04,0.69
Need for Speed: Most Wanted,PS2,Sony,Racing,Electronic Arts,EA Canada,2005-11-15,2005,4.37,2.03,0.08,1.79,0.47
Michael Jackson: The Experience,Wii,Nintendo,Misc,Ubisoft,Ubisoft Montpellier,2010-11-23,2010,4.37,2.64,0.01,1.33,0.39
Tom Clancy's Rainbow Six: Siege,PS4,Sony,Shooter,Ubisoft,Ubisoft Montreal,2015-12-01,2015,4.35,1.29,0.36,2.06,0.64
Call of Duty: Advanced Warfare,X360,Microsoft,Shooter,Activision,High Moon Studios,2014-11-04,2014,4.35,2.81,0.0,1.13,0.41
Watch Dogs,PS4,Sony,Action-Adventure,Ubisoft,Ubisoft Montreal,2014-05-27,2014,4.319999999999999,1.4,0.11,2.13,0.68
Batman: Arkham Asylum,PS3,Sony,Action,Eidos Interactive,Rocksteady Studios,2009-08-25,2009,4.29,2.26,0.07,1.33,0.63
Call of Duty: Advanced Warfare,PS3,Sony,Shooter,Activision,High Moon Studios,2014-11-04,2014,4.2700000000000005,1.59,0.2,1.81,0.67
Namco Museum,GBA,Nintendo,Misc,Namco,Mass Media,2001-06-10,2001,4.23,3.0,0.05,1.11,0.07
Assassin's Creed: Revelations,PS3,Sony,Action,Ubisoft,Ubisoft Montreal,2011-11-15,2011,4.23,1.41,0.1,2.03,0.69
Assassin's Creed: Revelations,X360,Microsoft,Action,Ubisoft,Ubisoft Montreal,2011-11-15,2011,4.23,2.28,0.04,1.47,0.44
FIFA Soccer 06,PS2,Sony,Sports,EA Sports,EA Canada,2005-10-04,2005,4.21,0.78,0.04,2.55,0.84
Street Fighter IV,PS3,Sony,Fighting,Capcom,Capcom / Dimps Corporation,2009-02-17,2009,4.199999999999999,2.04,0.59,1.05,0.52
FIFA Soccer 12,X360,Microsoft,Sports,EA Sports,EA Canada,2011-09-27,2011,4.18,0.85,0.02,2.79,0.52
Call of Duty: Ghosts,PS4,Sony,Shooter,Activision,Infinity Ward,2013-11-15,2013,4.17,1.79,0.05,1.64,0.69
Teenage Mutant Ninja Turtles,NES,Nintendo,Platform,Ultra Games,Konami,1989-06-01,1989,4.17,3.38,0.31,0.44,0.04
Frogger,PS,Sony,Action,Hasbro Interactive,Millenium Interactive,1997-09-30,1997,4.170000000000001,3.79,0.0,0.27,0.11
FIFA 14,X360,Microsoft,Sports,EA Sports,EA Canada,2013-09-24,2013,4.16,0.94,0.01,2.92,0.29
Star Wars Battlefront (2015),XOne,Microsoft,Shooter,Electronic Arts,EA DICE,2015-11-17,2015,4.15,2.49,0.02,1.26,0.38
Madden NFL 2003,PS2,Sony,Sports,EA Sports,EA Tiburon,2002-08-12,2002,4.14,3.36,0.01,0.21,0.56
Assassin's Creed: Unity,PS4,Sony,Action,Ubisoft,Ubisoft Montreal,2014-11-11,2014,4.15,1.25,0.09,2.16,0.65
Destiny 2,PS4,Sony,Shooter,Activision,Bungie,2017-09-06,2017,4.15,1.92,0.1,1.44,0.69
FIFA 07 Soccer,PS2,Sony,Sports,EA Sports,Team Fusion,2006-10-03,2006,4.109999999999999,0.71,0.03,2.48,0.89
Batman: Arkham Knight,PS4,Sony,Action,Warner Bros. Interactive,Rocksteady Studios,2015-06-23,2015,4.1,1.65,0.11,1.68,0.66
The Sims 4,PC,Outros,Simulation,Electronic Arts,Maxis,2014-09-02,2014,4.1,1.2,0.0,2.6,0.3
Fallout: New Vegas,X360,Microsoft,Role-Playing,Bethesda Softworks,Obsidian Entertainment,2010-10-19,2010,4.08,2.67,0.04,1.03,0.34
Carnival Games,Wii,Nintendo,Misc,Global Star Software,Cat Daddy Games,2007-08-28,2007,4.06,2.12,0.05,1.47,0.42
Far Cry 4,PS4,Sony,Shooter,Ubisoft,Ubisoft Montreal,2014-11-18,2014,4.0600000000000005,1.18,0.11,2.14,0.63
Assassin's Creed Origins,PS4,Sony,Action,Ubisoft,Ubisoft Montreal,2017-10-27,2017,4.07,1.22,0.11,2.11,0.63
World Soccer Winning Eleven 9,PS2,Sony,Sports,Konami,Konami Computer Entertainment Tokyo,2006-02-07,2006,4.05,0.12,0.9,2.26,0.77
Forza Motorsport 2,X360,Microsoft,Racing,Microsoft Game Studios,Turn 10 Studios,2007-05-29,2007,4.06,2.35,0.03,1.27,0.41
Namco Museum Vol.3,PS,Sony,Misc,Namco,Namco,1997-01-31,1997,4.05,2.28,0.16,1.55,0.06
Tekken Tag Tournament,PS2,Sony,Fighting,Namco,Namco,2000-10-25,2000,4.05,1.68,0.51,1.51,0.35
Fallout 3,PS3,Sony,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2008-10-28,2008,4.01,2.18,0.07,1.15,0.61
The Elder Scrolls V: Skyrim,PC,Outros,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2011-11-11,2011,3.9899999999999998,1.18,0.0,2.25,0.56
NBA 2K16,PS4,Sony,Sports,2K Sports,Visual Concepts,2015-09-29,2015,3.98,2.56,0.05,0.66,0.71
Namco Museum: 50th Anniversary,PS2,Sony,Misc,Namco,Digital Eclipse,2005-08-30,2005,3.97,2.08,0.0,1.35,0.54
Far Cry 5,PS4,Sony,Action,Ubisoft,Ubisoft,2018-03-27,2018,3.94,1.44,0.15,1.73,0.62
Battlefield 4,PS4,Sony,Shooter,Electronic Arts,EA DICE,2013-11-15,2013,3.95,1.4,0.19,1.74,0.62
Assassin's Creed IV: Black Flag,PS3,Sony,Action-Adventure,Ubisoft,Ubisoft Montreal,2013-10-29,2013,3.95,1.34,0.13,1.86,0.62
Tony Hawk's Underground,PS2,Sony,Sports,Activision,Neversoft Entertainment,2003-10-27,2003,3.8899999999999997,2.29,0.01,1.17,0.42
Just Dance 2014,Wii,Nintendo,Music,Ubisoft,Ubisoft Paris,2013-10-08,2013,3.9,1.91,0.0,1.66,0.33
Sports Champions,PS3,Sony,Sports,Sony Computer Entertainment,SCE San Diego Studio,2010-09-17,2010,3.88,2.15,0.1,1.13,0.5
World Soccer Winning Eleven 8 International,PS2,Sony,Sports,Konami,Konami Computer Entertainment Tokyo,2005-02-01,2005,3.85,0.16,1.12,1.89,0.68
Namco Museum Vol.1,PS,Sony,Misc,Namco,Namco,1996-07-31,1996,3.8400000000000003,2.12,0.22,1.44,0.06
LEGO Indiana Jones: The Original Adventures,X360,Microsoft,Adventure,LucasArts,Traveller's Tales,2008-06-03,2008,3.77,2.4,0.0,1.01,0.36
The Sims: Unleashed,PC,Outros,Simulation,Electronic Arts,Maxis,2002-09-23,2002,3.76,2.03,0.0,1.56,0.17
Ratchet & Clank: Size Matters,PSP,Sony,Platform,Sony Computer Entertainment,High Impact Games,2007-02-13,2007,3.76,1.4,0.1,1.4,0.86
FIFA 17,XOne,Microsoft,Sports,Electronic Arts,EA Canada,2016-09-27,2016,3.71,1.04,0.0,2.4,0.27
FIFA Soccer 2005,PS2,Sony,Sports,EA Sports,EA Canada,2004-10-12,2004,3.69,0.58,0.04,2.48,0.59
Tony Hawk's Pro Skater 4,PS2,Sony,Sports,Activision,Neversoft Entertainment,2002-10-23,2002,3.6699999999999995,2.13,0.01,1.18,0.35
MySims,DS,Nintendo,Simulation,Electronic Arts,EA Redwood Shores,2007-09-18,2007,3.66,1.58,0.08,1.6,0.4
Midnight Club 3: DUB Edition,PSP,Sony,Racing,Rockstar Games,Rockstar Leeds,2005-06-27,2005,3.66,1.65,0.0,1.22,0.79
SOCOM: U.S. Navy SEALs,PS2,Sony,Shooter,Sony Computer Entertainment,Zipper Interactive,2002-08-27,2002,3.6399999999999997,2.53,0.06,0.81,0.24
Battlefield 4,PS3,Sony,Shooter,Electronic Arts,EA DICE,2013-10-29,2013,3.63,1.31,0.27,1.5,0.55
Jak and Daxter: The Precursor Legacy,PS2,Sony,Platform,Sony Computer Entertainment,Naughty Dog,2001-12-04,2001,3.6500000000000004,2.08,0.15,1.09,0.33
Pro Evolution Soccer 2008,PS2,Sony,Sports,Konami,Konami,2008-03-11,2008,3.62,0.05,0.64,0.0,2.93
FIFA Soccer 10,PS3,Sony,Sports,EA Sports,EA Canada,2009-10-20,2009,3.63,0.6,0.05,2.46,0.52
Guitar Hero: World Tour,Wii,Nintendo,Misc,Activision,Vicarious Visions,2008-10-26,2008,3.6199999999999997,2.32,0.0,0.96,0.34
The Simpsons: Road Rage,PS2,Sony,Racing,Electronic Arts,Radical Entertainment,2001-11-24,2001,3.61,2.02,0.0,1.17,0.42
Star Wars Battlefront,PS2,Sony,Shooter,LucasArts,Pandemic Studios,2004-09-20,2004,3.6199999999999997,1.93,0.03,1.22,0.44
Doom II,PC,Outros,Shooter,GT Interactive,id Software,1994-09-30,1994,3.61,2.05,0.0,1.4,0.16
Assassin's Creed Syndicate,PS4,Sony,Action,Ubisoft,Ubisoft Quebec,2015-10-23,2015,3.59,0.9,0.08,2.06,0.55
Star Wars Battlefront II,PS2,Sony,Shooter,LucasArts,Pandemic Studios,2005-11-01,2005,3.6,2.18,0.03,1.02,0.37
Assassin's Creed: Unity,XOne,Microsoft,Action,Ubisoft,Ubisoft Montreal,2014-11-11,2014,3.5799999999999996,2.34,0.0,0.9,0.34
WWF SmackDown!,PS,Sony,Fighting,THQ,Yuke's,2000-03-01,2000,3.58,2.01,0.06,1.35,0.16
Cooking Mama 2: Dinner With Friends,DS,Nintendo,Simulation,Majesco,Office Create,2007-11-13,2007,3.5800000000000005,1.6,0.1,1.49,0.39
The Getaway,PS2,Sony,Action,Sony Computer Entertainment,Team Soho,2003-01-19,2003,3.54,1.23,0.05,1.77,0.49
Tomb Raider III: Adventures of Lara Croft,PS,Sony,Adventure,Eidos Interactive,Core Design Ltd.,1998-11-21,1998,3.54,1.66,0.12,1.58,0.18
Grand Theft Auto: Liberty City Stories,PS2,Sony,Action,Rockstar Games,Rockstar Leeds,2006-06-06,2006,3.5300000000000002,1.56,0.07,1.4,0.5
Battlefield 4,X360,Microsoft,Shooter,Electronic Arts,EA DICE,2013-10-29,2013,3.5500000000000003,2.16,0.02,1.05,0.32
Batman: Arkham Asylum,X360,Microsoft,Action,Eidos Interactive,Rocksteady Studios,2009-08-25,2009,3.54,2.24,0.02,0.95,0.33
Resident Evil 5,X360,Microsoft,Action,Capcom,Capcom,2009-03-13,2009,3.52,2.13,0.12,0.93,0.34
Assassin's Creed: Brotherhood,X360,Microsoft,Action,Ubisoft,Ubisoft Montreal,2010-11-16,2010,3.54,2.87,0.03,0.39,0.25
LEGO Star Wars: The Video Game,PS2,Sony,Action,Eidos Interactive,Traveller's Tales,2005-04-02,2005,3.54,1.98,0.01,1.14,0.41
James Bond 007: Agent Under Fire,PS2,Sony,Shooter,Electronic Arts,EA Redwood Shores,2001-11-13,2001,3.54,1.9,0.1,1.13,0.41
Rugrats in Paris: The Movie,PS,Sony,Action,THQ,Avalanche Software,2000-10-29,2000,3.52,1.96,0.0,1.33,0.23
